id,careers,interests,recrtTitle,jobId
1634,"[{'job': '설치/정비/생산', 'career': 36}]",['생산/제조'],"아크릴 강연대, 진열대제작등  직원모집",K120121511200002
1635,"[{'job': '설치/정비/생산', 'career': 13}]",['생산/제조'],(주)원우푸드 지사(경기도 광주시) 계육 가공 및 포장원 모집,K120121512040006
1636,"[{'job': '설치/정비/생산', 'career': 25}, {'job': '건설/채굴', 'career': 25}, {'job': '농림어업', 'career': 24}]","['생산/제조', '육아/보육', '퀵서비스']",(주)진성토피아무역  골프장갑 원부자재 검수 (검사부) 모집합니다.,K120121602290029
1637,"[{'job': '설치/정비/생산', 'career': 13}, {'job': '영업/판매/운전/운송', 'career': 30}]","['생산/제조', '아파트청소']",(주)진성토피아무역  골프장갑 원부자재 검수 (검사부) 모집합니다.,K120121603150019
1638,"[{'job': '설치/정비/생산', 'career': 29}, {'job': '예술/디자인/방송/스포츠', 'career': 37}]",['생산/제조'],한성식품 생산직 사원 모집(김치제조)[부천시 오정구],K120121604060003
1639,"[{'job': '설치/정비/생산', 'career': 9}]","['생산/제조', '영업/판매']",생산직(포장)모집,K120121604080002
1640,"[{'job': '설치/정비/생산', 'career': 24}]","['생산/제조', '아파트청소']","단순직 생산 공장입니다. 구인 합니다.[제품 수량체크, 포장업무]",K120121604180047
1641,"[{'job': '설치/정비/생산', 'career': 23}]","['생산/제조', '조립/포장', '건물/시설관리']",효원 생산직 사원 모집(김치제조),K120121605090076
1642,"[{'job': '설치/정비/생산', 'career': 36}, {'job': '경영/사무/금융/보험', 'career': 33}]",['생산/제조'],핸드백 재봉사 모집[경력직],K120121606010011
1643,"[{'job': '설치/정비/생산', 'career': 12}, {'job': '건설/채굴', 'career': 34}, {'job': '보건/의료', 'career': 39}]",['생산/제조'],한성식품 생산직 사원 모집(김치제조)[부천시 오정구],K120121606070012
1644,"[{'job': '설치/정비/생산', 'career': 16}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 34}, {'job': '건설/채굴', 'career': 24}]","['생산/제조', '문화시설']",단순생산직 모집합니다,K120121606170022
1645,"[{'job': '설치/정비/생산', 'career': 7}, {'job': '건설/채굴', 'career': 33}, {'job': '영업/판매/운전/운송', 'career': 15}]","['생산/제조', '육아/보육', '안내원']",(주)한성식품 김치공장 생산직 사원 모집합니다[부천시],K120121607140040
1646,"[{'job': '설치/정비/생산', 'career': 23}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 35}]","['생산/제조', '조립/포장', '경비원']",(주)한성식품 김치공장 생산직 사원 모집합니다[부천시],K120121608090014
1647,"[{'job': '설치/정비/생산', 'career': 23}, {'job': '연구/공학기술', 'career': 6}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 22}]","['생산/제조', '안전점검원']",[서울 종로] 택배물품 포장원 채용합니다.,K120121608220081
1648,"[{'job': '설치/정비/생산', 'career': 39}]","['생산/제조', '문화예술', '가사도우미']",[자수공장] 컴퓨터자수사 구인(경력)_[초보가능] 초보자인경우 봉제경험자 우대,K120121609120062
1649,"[{'job': '설치/정비/생산', 'career': 8}, {'job': '영업/판매/운전/운송', 'career': 35}, {'job': '경영/사무/금융/보험', 'career': 33}]","['생산/제조', '상담원', '환경미화']",생산직 단순노무 및 청소,K120121610210048
1650,"[{'job': '설치/정비/생산', 'career': 17}]","['생산/제조', '경비원', '요양/간병']",레이저가공원모집,K120121611030001
1651,"[{'job': '설치/정비/생산', 'career': 8}, {'job': '보건/의료', 'career': 18}, {'job': '영업/판매/운전/운송', 'career': 33}]","['생산/제조', '영업/판매']",서흥인터내셔날 가구수리원 채용,K120121611210039
1652,"[{'job': '설치/정비/생산', 'career': 13}, {'job': '미용/여행/숙박/음식/경비/청소', 'career': 39}]","['생산/제조', '번역', '퀵서비스']","MCT, CNC조작가공원",K120121612220012
1653,"[{'job': '설치/정비/생산', 'career': 37}]",['생산/제조'],"(주)효원 생산직(김치제조원)[충북 진천군,통근버스제공]",K120121701090009
1654,"[{'job': '설치/정비/생산', 'career': 31}]","['생산/제조', '번역', '세차/세탁']",디지털프린트나염(DTP) 열프레스 생산직,K120121701170008
1655,"[{'job': '설치/정비/생산', 'career': 26}]","['생산/제조', '건물/모텔청소', '운송']",가구수리원[버스-이천시 대월면 사동초등학교앞],K120121702170052
1656,"[{'job': '설치/정비/생산', 'career': 22}, {'job': '예술/디자인/방송/스포츠', 'career': 34}, {'job': '영업/판매/운전/운송', 'career': 19}]","['생산/제조', '영업/판매', '운전']",김치제조원(청주일대 통근버스제공)[충북 진천군],K120121702200014
1657,"[{'job': '설치/정비/생산', 'career': 30}, {'job': '건설/채굴', 'career': 33}, {'job': '영업/판매/운전/운송', 'career': 32}]","['생산/제조', '운전', '주방']",섬유생산직/생산관리 총괄 모집,K120121703020028
1658,"[{'job': '설치/정비/생산', 'career': 25}]",['생산/제조'],"MCT, CNC조작가공원",K120121703100018
1659,"[{'job': '설치/정비/생산', 'career': 11}, {'job': '농림어업', 'career': 18}]",['생산/제조'],생산직 사원모집 / 월 260만원 / 최신시설기숙사 제공,K120121703140022
1660,"[{'job': '설치/정비/생산', 'career': 33}]","['생산/제조', '청소원', '방역']",가구수리원(물류센터)[버스-이천시 대월면 사동초등학교앞],K120121703170038
1661,"[{'job': '설치/정비/생산', 'career': 32}]","['생산/제조', '산후조리']",생산직 사원모집 / 월 260만원 / 최신시설기숙사 제공,K120121703290052
1662,"[{'job': '설치/정비/생산', 'career': 29}, {'job': '영업/판매/운전/운송', 'career': 23}, {'job': '건설/채굴', 'career': 23}]","['생산/제조', '환경미화']","금속가공원(주,야간)",K120121704050002
1663,"[{'job': '설치/정비/생산', 'career': 6}]","['생산/제조', '아파트청소']",김치제조원(청주일대 통근버스제공)[충북 진천군],K120121704140005
1664,"[{'job': '설치/정비/생산', 'career': 38}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 6}]","['생산/제조', '가사도우미']",금속가공원(주간),K120121705100005
1665,"[{'job': '설치/정비/생산', 'career': 20}, {'job': '경영/사무/금융/보험', 'career': 8}]",['생산/제조'],"김치제조 및 포장원((주)한성식품, 주6일)[춘의역7번출구]",K120121705160012
1666,"[{'job': '설치/정비/생산', 'career': 39}]","['생산/제조', '써빙', '안내원']","김치제조원(효원식품,청주일대 통근버스,주5일)[충북 진천군]",K120121705160019
1667,"[{'job': '설치/정비/생산', 'career': 36}, {'job': '경영/사무/금융/보험', 'career': 34}]",['생산/제조'],가구수리원(물류센터)[버스-이천시 대월면 사동초등학교앞],K120121706010042
1668,"[{'job': '설치/정비/생산', 'career': 36}, {'job': '건설/채굴', 'career': 7}, {'job': '예술/디자인/방송/스포츠', 'career': 16}]","['생산/제조', '세차/세탁']",생산직 사원모집 / 월 260만원 / 최신시설기숙사 제공,K120121706050045
1669,"[{'job': '설치/정비/생산', 'career': 15}, {'job': '경영/사무/금융/보험', 'career': 34}]","['생산/제조', '경비원', '써빙']",광작업하실 분 구합니다.,K120121706290034
1670,"[{'job': '설치/정비/생산', 'career': 18}]","['생산/제조', '제품검사', '사무보조']","김치제조 및 포장원((주)한성식품, 주6일)[춘의역7번출구]",K120121707040061
1671,"[{'job': '설치/정비/생산', 'career': 34}]","['생산/제조', '제품검사', '써빙']","의자등 수리원(물류센터, 주5일)[이천시 대월면 사동초등학교앞]",K120121707070007
1672,"[{'job': '설치/정비/생산', 'career': 27}, {'job': '미용/여행/숙박/음식/경비/청소', 'career': 12}, {'job': '연구/공학기술', 'career': 36}]","['생산/제조', '교통/생활지도']",성실한 디지털 프린팅 관리자를 모집합니다,K120121708010003
1673,"[{'job': '설치/정비/생산', 'career': 39}]",['생산/제조'],청주 흥덕구 선영화학회사 목재파렛트 단순가공원 모집,K120121708030027
1674,"[{'job': '설치/정비/생산', 'career': 11}, {'job': '경영/사무/금융/보험', 'career': 39}]","['생산/제조', '교통/생활지도']","의류수선 및 검품원(무역업, 주5일)[이천시 호법면]",K120121708030034
1675,"[{'job': '설치/정비/생산', 'career': 18}, {'job': '영업/판매/운전/운송', 'career': 37}]","['생산/제조', '방역']","김치제조 및 포장원((주)한성식품, 주6일)[춘의역7번출구]",K120121708160046
1676,"[{'job': '건설/채굴', 'career': 18}, {'job': '경영/사무/금융/보험', 'career': 26}]",['생산/제조'],"가구수리원(물류센터, 주5일)[이천시 대월면]",K120121708290036
1677,"[{'job': '건설/채굴', 'career': 31}]","['생산/제조', '가사도우미']","김치제조 및 포장원((주)한성식품, 주6일)[춘의역7번출구]",K120121709270005
1678,"[{'job': '건설/채굴', 'career': 29}]","['생산/제조', '요양/간병', '청소원']","김치제조 보조원(김치,절임식품업, 주6일, 07:30~18:00)[청량리역2번출구]",K120121710110016
1679,"[{'job': '건설/채굴', 'career': 7}, {'job': '설치/정비/생산', 'career': 10}]",['생산/제조'],"가구수리원(물류센터, 주5일)[이천시 대월면]",K120121710110051
1680,"[{'job': '건설/채굴', 'career': 11}]","['생산/제조', '접수/예약', '조립/포장']",생산보조+포장발송업무 단시간근로자 뽑습니다!!!,K120121711130052
1681,"[{'job': '건설/채굴', 'career': 26}, {'job': '경영/사무/금융/보험', 'career': 13}, {'job': '영업/판매/운전/운송', 'career': 40}]","['생산/제조', '세차/세탁', '문화예술']","의류수선 및 검품원(무역업, 주5일)[이천시 호법면]",K120121711220027
1682,"[{'job': '건설/채굴', 'career': 25}, {'job': '보건/의료', 'career': 33}, {'job': '영업/판매/운전/운송', 'career': 25}]","['생산/제조', '영업/판매', '택배']","김치제조 보조원(생산직)(김치,절임식품업, 주5일)[청량리역2번출구**]",K120121712220006
1683,"[{'job': '건설/채굴', 'career': 22}, {'job': '경영/사무/금융/보험', 'career': 10}]","['생산/제조', '접수/예약', '택배']","한약재 포장원(한약재업, 주5.5일)[양주시 광적면**]",K120121712270036
1684,"[{'job': '건설/채굴', 'career': 15}]","['생산/제조', '영업/판매', '제품검사']",삼육외국어학원 초중등 수학 강사 모집(서울 휘경동),K120122104140035
1685,"[{'job': '건설/채굴', 'career': 15}, {'job': '미용/여행/숙박/음식/경비/청소', 'career': 37}]",['생산/제조'],주말을 책임져주실 건축목공 강사님을 초빙합니다,K120122107010047
1686,"[{'job': '건설/채굴', 'career': 17}]",['생산/제조'],식품분야 단순종사원,K120141505060026
1687,"[{'job': '건설/채굴', 'career': 38}, {'job': '예술/디자인/방송/스포츠', 'career': 5}, {'job': '농림어업', 'career': 38}]",['생산/제조'],마스크 생산/관리 담당자 채용,K120141505130025
1688,"[{'job': '건설/채굴', 'career': 18}, {'job': '예술/디자인/방송/스포츠', 'career': 27}]","['생산/제조', '요양/간병', '접수/예약']",단순 노무원(폐지분류)채용,K120141505290016
1689,"[{'job': '건설/채굴', 'career': 32}, {'job': '경영/사무/금융/보험', 'career': 21}]",['생산/제조'],횡성 롯데 파스퇴르 세척실 제조관련단순종사원(세척)직원 구인,K120141506220043
1690,"[{'job': '건설/채굴', 'career': 25}, {'job': '미용/여행/숙박/음식/경비/청소', 'career': 20}]","['생산/제조', '운전']",횡성 롯데 파스퇴르 세척실 제조관련단순종사원(세척)직원 구인,K120141507080015
1691,"[{'job': '건설/채굴', 'career': 20}, {'job': '보건/의료', 'career': 15}]",['생산/제조'],단순 노무원(폐지분류)채용,K120141508250030
1692,"[{'job': '건설/채굴', 'career': 31}]","['생산/제조', '주유']",음식물종량기 유지보수,K120141511240013
1693,"[{'job': '건설/채굴', 'career': 26}, {'job': '영업/판매/운전/운송', 'career': 30}, {'job': '경영/사무/금융/보험', 'career': 5}]","['생산/제조', '방역', '경비원']",음식물종량기 유지보수,K120141512160018
1694,"[{'job': '건설/채굴', 'career': 26}, {'job': '농림어업', 'career': 19}]","['생산/제조', '퀵서비스', '건물/모텔청소']","[채용대행] 해초류 (다시마,미역 등) 선별 및 단순생산 직원 모집",K120141512310004
1695,"[{'job': '건설/채굴', 'career': 10}, {'job': '경영/사무/금융/보험', 'career': 37}]","['생산/제조', '편의점/마트']",단순 노무원(폐지분류)채용,K120141601050004
1696,"[{'job': '건설/채굴', 'career': 24}]","['생산/제조', '써빙']",횡성 롯데 파스퇴르 세척실 제조관련단순종사원(세척)직원 구인,K120141602160021
1697,"[{'job': '건설/채굴', 'career': 37}, {'job': '경영/사무/금융/보험', 'career': 13}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 37}]","['생산/제조', '환경미화']",횡성 파스퇴르 세척실 제조관련단순종사원(세척)직원 구인,K120141603020045
1698,"[{'job': '건설/채굴', 'career': 5}, {'job': '영업/판매/운전/운송', 'career': 39}, {'job': '보건/의료', 'career': 29}]","['생산/제조', '건물/시설관리']","[채용대행] 해초류 (다시마,미역 등) 선별 및 단순생산 직원 모집",K120141603210047
1699,"[{'job': '건설/채굴', 'career': 16}, {'job': '농림어업', 'career': 25}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 7}]",['생산/제조'],횡성 파스퇴르 세척실 제조관련단순종사원(세척)직원 구인,K120141604040051
1700,"[{'job': '건설/채굴', 'career': 5}, {'job': '농림어업', 'career': 35}]","['생산/제조', '문화시설', '매표소/카운터']",해초류 관련 단순가공/포장 사원 모집,K120141604050005
1701,"[{'job': '건설/채굴', 'career': 34}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 15}, {'job': '예술/디자인/방송/스포츠', 'career': 38}]",['생산/제조'],서수원-의왕간 고속화도로(작업원) 직원 채용,K120141604180019
1702,"[{'job': '건설/채굴', 'career': 38}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 6}, {'job': '경영/사무/금융/보험', 'career': 27}]","['생산/제조', '번역']",횡성 파스퇴르 세척실 제조관련단순종사원(세척)직원 구인,K120141604190030
1703,"[{'job': '건설/채굴', 'career': 37}]","['생산/제조', '배달']","생산, 품질 및 기계관리 등 전반 담당자 구인",K120141604290014
1704,"[{'job': '건설/채굴', 'career': 32}, {'job': '경영/사무/금융/보험', 'career': 5}, {'job': '영업/판매/운전/운송', 'career': 10}]","['생산/제조', '상담원']",해초류 관련 단순가공/포장 사원 모집,K120141605170022
1705,"[{'job': '건설/채굴', 'career': 34}]","['생산/제조', '운송']",횡성 파스퇴르 세척실 제조관련단순종사원(세척)직원 구인,K120141605300009
300,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 32}, {'job': '연구/공학기술', 'career': 10}]",['경비원'],수서동 사이룩스 오피스텔 경비원 채용,Dd03751601070020
301,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 12}, {'job': '보건/의료', 'career': 20}, {'job': '경영/사무/금융/보험', 'career': 17}]",['경비원'],아파트경비원,Dd03931611080016
302,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 38}, {'job': '영업/판매/운전/운송', 'career': 24}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 34}]","['경비원', '교육/강사/해설사']",아파트경비원(5명),Dd03931701120030
303,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 8}, {'job': '보건/의료', 'career': 35}]","['경비원', '교통/생활지도']",동탄현장 경비원모집,K120031502040007
304,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 11}, {'job': '영업/판매/운전/운송', 'career': 12}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 32}]","['경비원', '운전']",빌딩 경비원 모집,K120031503100030
305,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 11}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 19}]","['경비원', '문화예술']",건설현장 경비원 모집,K120031503100045
306,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 32}]","['경비원', '교육/강사/해설사']",업무시설(빌딩) 경비원 모집,K120031503180061
307,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 40}]",['경비원'],건물 경비직 모집,K120031503190003
308,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 10}, {'job': '연구/공학기술', 'career': 24}, {'job': '경영/사무/금융/보험', 'career': 11}]",['경비원'],삼성빌딩 경비원 구함,K120031503260015
309,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 24}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 21}]","['경비원', '써빙', '영업/판매']",CJ대한통운 경비원 모집(인천 신흥동),K120031503310009
310,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 33}, {'job': '연구/공학기술', 'career': 9}]","['경비원', '제품검사']",빌딩 경비원을 구인합니다.,K120031504010019
311,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 7}]","['경비원', '교통/생활지도']",빌딩 경비원을 모집합니다.,K120031504020036
312,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 13}, {'job': '연구/공학기술', 'career': 20}, {'job': '농림어업', 'career': 16}]","['경비원', '써빙']",빌딩 관리인을 채용합니다.,K120031504080040
313,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 24}]","['경비원', '청소원']",CJ대한통운 경비원 모집(인천 신흥동),K120031504100004
314,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 25}]","['경비원', '편의점/마트']",상가 관리/경비원,K120031504130043
315,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 34}]",['경비원'],[3교대/150만원/식사제공] 이천 휘닉스스프링스 골프장 경비사원 모집,K120031504130066
316,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 36}]","['경비원', '상담원']",빌딩 경비원 모집,K120031504200017
317,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 7}]","['경비원', '안전점검원']",삼성빌딩 경비원 구함,K120031504270014
318,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 9}, {'job': '설치/정비/생산', 'career': 12}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 30}]","['경비원', '사무보조', '기타']",CJ대한통운 경비원 모집(인천 신흥동),K120031505040013
319,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 19}, {'job': '예술/디자인/방송/스포츠', 'career': 25}, {'job': '보건/의료', 'career': 38}]",['경비원'],[급구] 건설현장 경비원 구인,K120031505060028
320,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 22}]","['경비원', '건물/시설관리', '영업/판매']",성복동 데이파크 상가건물 경비원 채용합니다.,K120031505120014
321,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 23}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 24}, {'job': '보건/의료', 'career': 29}]","['경비원', '건물/시설관리', '세차/세탁']",아파트경비원 구함,K120031505120040
322,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 17}]","['경비원', '안전점검원']",아파트 공사현장 경비원을 구인합니다,K120031505140016
323,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 28}]","['경비원', '접수/예약', '안내원']",빌딩 경비원을 구인합니다.,K120031505210025
324,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 35}]",['경비원'],천안불당동 아파트 공사현장 경비원 구인,K120031505220007
325,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 27}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 12}]","['경비원', '문화예술']",현대로지스틱스 양산지점 경비원 모집,K120031505220013
326,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 5}, {'job': '보건/의료', 'career': 24}]",['경비원'],서울 방이역 인근 건설현장 격일제(주간)경비원 1명 모집,K120031506010023
327,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 7}]",['경비원'],빌딩 관리원(경비원) 채용합니다.,K120031506090014
328,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 6}, {'job': '영업/판매/운전/운송', 'career': 22}]","['경비원', '요양/간병']",[격일근무/화전역] 한국항공대학교 경비원 모집-급구-,K120031506220009
329,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 17}, {'job': '설치/정비/생산', 'career': 17}]","['경비원', '써빙', '교통/생활지도']",롯데정보통신 빌딩 정산소 근무자모집,K120031506240004
330,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 31}]","['경비원', '편의점/마트', '영업/판매']",빌딩 경비원을 구인합니다.,K120031507020001
331,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 19}]","['경비원', '사무보조', '요양/간병']",빌딩 야간경비원 모집합니다.,K120031507020031
332,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 25}, {'job': '농림어업', 'career': 37}]","['경비원', '건물/시설관리']",흑석동 신축현장 격일제 경비원모집,K120031507030012
333,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 16}, {'job': '건설/채굴', 'career': 7}, {'job': '경영/사무/금융/보험', 'career': 26}]","['경비원', '환경미화']",건물 주차관리 및 경비구함,K120031507070047
334,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 8}]","['경비원', '운전', '환경미화']",삼성빌딩 경비원 구함,K120031507080013
335,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 23}, {'job': '예술/디자인/방송/스포츠', 'career': 35}]","['경비원', '써빙']",비앤씨상사 경비 모집합니다.,K120031507090032
336,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 40}]","['경비원', '교육/강사/해설사']",[서울 대방동]빌딩 경비원 모집합니다.,K120031507130060
337,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 24}, {'job': '연구/공학기술', 'career': 22}, {'job': '보건/의료', 'career': 40}]","['경비원', '기타']",빌딩 관리인을 채용합니다.,K120031507170022
338,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 15}]",['경비원'],치과병원건물(신사동 에이플러스빌딩)에서 가족같이 근무할 성실하고 책임있는 경비원을 찾습니다.,K120031507200025
339,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 5}]",['경비원'],"경비,주차,빌딩관리",K120031507310031
340,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 19}]","['경비원', '써빙', '제품검사']",기숙사 경비원 모집,K120031508190006
341,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 27}, {'job': '연구/공학기술', 'career': 14}, {'job': '설치/정비/생산', 'career': 13}]",['경비원'],[수원.용인]  ACE PMC 정규직 보안요원 모집,K120031508250049
342,"[{'job': '미용/여행/숙박/음식/경비/청소', 'career': 13}]","['경비원', '환경미화']",역삼동 범추빌딩 경비원 모집,K120031508260001
